id,context,response,tags
463,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.orderingProvider.id","Ordering Provider ID ",bca
464,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.orderingProvider.lastName","Ordering Provider Last Name ",bca
465,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.orderingProvider.middleInitial","Ordering Provider Middle Initial ",bca
466,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.orderingProvider.nameSuffix","Ordering Provider Name Suffix ",bca
467,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.orderingProviderNumber.referringProviderNumber.npi","Ordering Provider NPI ",bca
468,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.orderingProviderNumber.referringProviderNumber.number","Ordering Provider Number ",bca
469,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.orderingProvider.type","Ordering Provider Type ",bca
470,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.orderingProvider.type.id","Ordering Provider Type ID ",bca
471,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.originalId","Original Department ID ",bca
472,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.caForm.otherReason","Other ",bca
473,"Give Business name for DecisionResponse.scrubbedClaim.refData.procedureCodeParentChild","Other athenaCodesource Parent Procedure Code ",bca
474,"Give Business name for DecisionResponse.scrubbedClaim.claim.otherDiagnoses","Other Claim Diagnosis Codes ",bca
475,"Give Business name for DecisionResponse.scrubbedClaim.crossModel.otherClaimEditFieldDetails","Other Claim Edit Fields Details ",bca
476,"Give Business name for DecisionResponse.scrubbedClaim.claim.referralAuthorization.insurance.insurancePackage.claimRuleCategoryId","Other Claim Rule Category ID ",bca
477,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.otherInsuranceEraRecordExistsYN","Other Insurance ERA Source ID ",bca
478,"Give Business name for DecisionResponse.scrubbedClaim.claim.referralAuthorization.insurance.insurancePackage.id","Other Insurance Package ID ",bca
479,"Give Business name for flatten((Reference Data).placeOfService).id","Other Place Of Service ID ",bca
480,"Give Business name for DecisionResponse.scrubbedClaim.claim.referralAuthorization.insurance.insurancePackage.productTypeId","Other Product Type ID ",bca
481,"Give Business name for Fetch Provider NPI.Execute","Other Provider Number ",bca
482,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.nyForm.otherRelationship","Other Relationship ",bca
483,"Give Business name for DecisionResponse.scrubbedClaim.claim.override24Hour","Override 24-Hour Rules Flag ",bca
484,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.routingEntityId","Override Routing Department Entity ID ",bca
485,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dme.o2CertificationRevisionDate","Oxygen Certification Revision Date ",bca
486,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dme.o2CmnQuantity","Oxygen CMN Quantity ",bca
487,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dme.o2TherapyBeginDate","Oxygen Therapy Begin Date ",bca
488,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dme.o2CertificationType","Oxygen Therapy Certification Type ",bca
489,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.packagePrograms","Package Programs ",bca
490,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient","Patient ",bca
491,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.address","Patient Address ",bca
492,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.address.street1","Patient Address Line 1 ",bca
493,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.address.street2","Patient Address Line 2 ",bca
494,"Give Business name for FEELBKM.Patient Age in Days(DecisionResponse.scrubbedClaim.claim.patient.birthDate,Decision Response.scrubbedClaim.claim.serviceDate)"","Patient Age In Days ",bca
495,"Give Business name for round down(DateBKM.Fetch Difference in Months(Claim Date Of Service , Patient Date Of Birth))"","Patient Age In Months ",bca
496,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.address.city","Patient City ",bca
497,"Give Business name for DecisionResponse.scrubbedClaim.claim.patientClaimOutstandingAmount","Patient Claim Outstanding Amount ",bca
498,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.address.country","Patient Country ",bca
499,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.address.countryCode","Patient Country Code ",bca
500,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.address.countryId","Patient Country ID ",bca
501,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.address.county","Patient County ",bca
502,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.birthDate","Patient Date Of Birth ",bca
503,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.employer.name","Patient Employer Name ",bca
504,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.enterpriseId","Patient Enterprise ID ",bca
505,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.firstName","Patient First Name ",bca
506,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.client.firstName","Patient First Name With Special Characters ",bca
507,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.homePhone","Patient Home Phone ",bca
508,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.homeless","Patient Homeless Flag ",bca
509,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.id","Patient ID ",bca
510,"Give Business name for distinct values(flatten(flatten(DecisionResponse.refData.patientVisitDetails).patientId))","Patient IDs ",bca
511,"Give Business name for DecisionResponse.activeInsurance.issueDate","Patient Insurance Issue Date ",bca
512,"Give Business name for DecisionResponse.activeInsurance.insurancePackage","Patient Insurance Package ",bca
513,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.lastName","Patient Last Name ",bca
514,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.maritalStatusId","Patient Marital Status ",bca
515,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.mobilePhone","Patient Mobile Phone ",bca
516,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.caForm.occupation","Patient Occupation ",bca
517,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.raceInfo","Patient Race Hierarchy Group ",bca
518,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.recordNumbers.selectId","Patient Registration Custom Field Drop Down Value ",bca
519,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.recordNumbers.categoryId","Patient Registration Custom Field ID ",bca
520,"Give Business name for flatten([DecisionResponse.scrubbedClaim.claim.patient.recordNumbers.categoryName])","Patient Registration Custom Field Name ",bca
521,"Give Business name for DecisionResponse.activeInsurance.relationShipToInsured.ansiCode","Patient Relationship To Insured Code ",bca
522,"Give Business name for DecisionResponse.activeInsurance.relationShipToInsured.id","Patient Relationship To Insured ID ",bca
523,"Give Business name for DecisionResponse.activeInsurance.relationShipToInsured.name","Patient Relationship To Insured Name ",bca
524,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.sex","Patient Sex ",bca
525,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.ssn","Patient SSN ",bca
526,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.address.state","Patient State ",bca
527,"Give Business name for DecisionResponse.scrubbedClaim.claim.patientStatusCode","Patient Status Code ",bca
528,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.nyForm.stillUnderCareYN","Patient Still Under Care ",bca
529,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.nyForm.toUnableToWorkDate","Patient Unable To Work End Date ",bca
530,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.nyForm.fromUnableToWorkDate","Patient Unable To Work Start Date ",bca
531,"Give Business name for DecisionResponse.scrubbedClaim.referenceData.patientVisitDetails","Patient Visit Details ",bca
532,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dialysis.patientWeight","Patient Weight ",bca
533,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.workPhone","Patient Work Phone ",bca
534,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.address.zip","Patient ZIP Code ",bca
535,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.medicalGroup.enrollmentStatus.payToAddressId","Pay_To Address ID From Payer Enrollment ",bca
536,"Give Business name for Reference Data.payToAddresses","Pay_To Addresses ",bca
537,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.payToAddressId","Pay-To ID ",bca
538,"Give Business name for DecisionResponse.activeInsurance.payers","Payer ",bca
539,"Give Business name for DecisionResponse.activeInsurance.payerLabels","Payer Label ",bca
540,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.payorExistYN","Payor Exist YN ",bca
541,"Give Business name for DecisionResponse.scrubbedClaim.claim.settings.credentialed.pbc","PBC Credentialed ",bca
542,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.settings.insuranceGroups.pbc","PBC Insurance Group ",bca
543,"Give Business name for DecisionResponse.activeInsurance.primaryCareProviderId","PCP Provider ID ",bca
544,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.caForm.periodicReport","Periodic Report ",bca
545,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.physicalAddress","Physical Address ",bca
546,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.physicalAddress.city","Physical Address City ",bca
547,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.physicalAddress.street1","Physical Address Line 1 ",bca
548,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.physicalAddress.street2","Physical Address Line 2 ",bca
549,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.physicalAddress.state","Physical Address State ",bca
550,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.physicalAddress.zip","Physical Address ZIP Code ",bca
551,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.placeOfService.id","Place Of Service ID ",bca
552,"Give Business name for flatten(Place Of Services.id)","Place of Service IDs ",bca
553,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.placeOfService.name","Place Of Service Name ",bca
554,"Give Business name for DecisionResponse.scrubbedClaim.claim.diagnosis.details.presentOnAdmissionIndicator","POA Indicator ",bca
555,"Give Business name for DecisionResponse.refData.poaExemptCodes","PoaExemptCodes ",bca
556,"Give Business name for DecisionResponse.activeInsurance.subscriber","Policy Holder ",bca
557,"Give Business name for DecisionResponse.activeInsurance.subscriber.address.street1","Policy Holder Address Line 1 ",bca
558,"Give Business name for DecisionResponse.activeInsurance.subscriber.address.city","Policy Holder City ",bca
559,"Give Business name for DecisionResponse.activeInsurance.subscriber.birthDate","Policy Holder Date Of Birth ",bca
560,"Give Business name for DecisionResponse.activeInsurance.subscriber.employer.address.street1","Policy Holder Employer Address Line 1 ",bca
561,"Give Business name for DecisionResponse.activeInsurance.subscriber.employer.address.city","Policy Holder Employer City ",bca
562,"Give Business name for ClaimBKM.Get Employer Details( DecisionResponse : DecisionResponse, FilterBy :{ Patient Insurance ID : Insurance Plan ID, Employer ID :2381 } )"","Policy Holder Employer Details ",bca
563,"Give Business name for DecisionResponse.activeInsurance.subscriber.employer.name","Policy Holder Employer Name ",bca
564,"Give Business name for DecisionResponse.activeInsurance.subscriber.employer.address.state","Policy Holder Employer State ",bca
565,"Give Business name for DecisionResponse.activeInsurance.subscriber.employer.address.zip","Policy Holder Employer ZIP Code ",bca
566,"Give Business name for DecisionResponse.activeInsurance.subscriber.entityType.id","Policy Holder Entity Type ID ",bca
567,"Give Business name for DecisionResponse.activeInsurance.subscriber.firstName","Policy Holder First Name ",bca
568,"Give Business name for DecisionResponse.activeInsurance.subscriber.lastName","Policy Holder Last Name ",bca
569,"Give Business name for DecisionResponse.activeInsurance.subscriber.middleInitial","Policy Holder Middle Initial ",bca
570,"Give Business name for DecisionResponse.activeInsurance.subscriber.nameSuffix","Policy Holder Name Suffix ",bca
571,"Give Business name for DecisionResponse.activeInsurance.subscriber.sex","Policy Holder Sex ",bca
572,"Give Business name for DecisionResponse.activeInsurance.subscriber.ssn","Policy Holder SSN ",bca
573,"Give Business name for DecisionResponse.activeInsurance.subscriber.address.state","Policy Holder State ",bca
574,"Give Business name for DecisionResponse.activeInsurance.subscriber.address.zip","Policy Holder ZIP Code ",bca
575,"Give Business name for DecisionResponse.activeInsurance.eligibility.demographicsDiffFields","Practice Demographics Eligibility Check ",bca
576,"Give Business name for DecisionResponse.practiceHierarchy","Practice Hierarchy ",bca
577,"Give Business name for DecisionResponse.practiceId","Practice ID ",bca
578,"Give Business name for DecisionResponse.scrubbedClaim.referenceData.practiceSettings","Practice Settings ",bca
579,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.maternity.pregnant","Pregnant ",bca
580,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.prepayment","Prepayment Plan ",bca
581,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.hearingVision.prescriptionDate","Prescription Date ",bca
582,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.hearingVision.prescriptionDateInvalidFlag","Prescription Date Invalid Flag ",bca
583,"Give Business name for (Primary Payer).acceptsAssignment","Primary Accepts Assignment ",bca
584,"Give Business name for (Primary Payer).insurancePackage.adjudicationProgramId","Primary Adjudication Program ID ",bca
585,"Give Business name for Reference Data.patientInsurances.referringProvider.providerNumbers.providerNumberCategory.id","Primary Care Provider Number Category ID ",bca
586,"Give Business name for (Primary Payer).insurancePackage.casePolicyId","Primary Case Policy Type ID ",bca
587,"Give Business name for (Primary Payer).insurancePackage.claimFilingIndicator.ansiCode","Primary Claim Filing Indicator ID ",bca
588,"Give Business name for (Primary Payer).insurancePackage.claimFilingIndicator.id","Primary Claim Filling Indicator ID ",bca
589,"Give Business name for DecisionResponse.scrubbedClaim.claim.primaryOutstandingAmount","Primary Claim Outstanding Amount ",bca
590,"Give Business name for (Primary Payer).insurancePackage.claimRuleCategory.id","Primary Claim Rule Category ID ",bca
591,"Give Business name for (Primary Payer).insurancePackage.claimSubmissionCategory.id","Primary Claim Submission Category ID ",bca
592,"Give Business name for (PatientOrInsuranceBKM.Fetch Primary PayerDecisionResponse).insurancePackage.emcCode","Primary EMC Code ",bca
593,"Give Business name for (Primary Payer).insurancePackage.enrollmentCategory.id","Primary Enrollment Category ID ",bca
594,"Give Business name for (Primary Payer).insurancePackage.settings.insuranceGroups.fqhc","Primary FQHC Insurance Group ",bca
595,"Give Business name for (Primary Payer).insurancePackage.governmentFundedTypeId","Primary Government Funded Type ID ",bca
596,"Give Business name for (PatientOrInsuranceBKM.Fetch Primary PayerDecisionResponse).caseNumber","Primary Insurance Case Number ",bca
597,"Give Business name for (Primary Payer).insurancePackage.crossOverCode","Primary Insurance Crossover Code ",bca
598,"Give Business name for (Primary Payer).eraRecordSourceId","Primary Insurance ERA Source ID ",bca
599,"Give Business name for (Primary Payer).groupId","Primary Insurance Group ID ",bca
600,"Give Business name for (Primary Payer).issueDate","Primary Insurance Issue Date ",bca
601,"Give Business name for (Primary Payer).insurancePackage","Primary Insurance Package ",bca
602,"Give Business name for (Primary Payer).insurancePackage.fullName","Primary Insurance Package Full Name ",bca
603,"Give Business name for (Primary Payer).insurancePackage.id","Primary Insurance Package ID ",bca
604,"Give Business name for (Primary Payer).insurancePackage.name","Primary Insurance Package Name ",bca
605,"Give Business name for (Primary Payer).id","Primary Insurance Plan ID ",bca
606,"Give Business name for (Primary Payer).insurancePackage.insuranceReportingCategory.id","Primary Insurance Reporting Category ID ",bca
607,"Give Business name for (Primary Payer).insurancePackage.insuranceReportingCategory.name","Primary Insurance Reporting Category Name ",bca
608,"Give Business name for (PatientOrInsuranceBKM.Fetch Primary PayerDecisionResponse).insurancePackage.insuranceTypeId","Primary Insurance Type ID ",bca
609,"Give Business name for (Primary Payer).insurancePackage.medicalGroup.groupNumber.legacyNumber","Primary Medical Group Legacy Number ",bca
610,"Give Business name for (Primary Payer).insurancePackage.medicalGroup.groupNumber.npi","Primary Medical Group NPI ",bca
611,"Give Business name for (Primary Payer).insurancePackage.medicalGroup.groupNumber","Primary Medical Group Number ",bca
612,"Give Business name for (Primary Payer).insurancePackage.settings.medicareReplacement","Primary Medicare Replacement Flag ",bca
613,"Give Business name for DecisionResponse.scrubbedClaim.claim.externalDropApprovalFlag1","Primary Medlytix Deductible Response Flag ",bca
614,"Give Business name for (Primary Payer).memberId","Primary Member ID ",bca
615,"Give Business name for (Primary Payer).insurancePackage.claimSubmissionCategory","Primary NPI Status ID ",bca
616,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.insurances[1]","Primary Patient Insurance ",bca
617,"Give Business name for ((PatientOrInsuranceBKM.Fetch Primary PayerDecisionResponse)).relationShipToInsured.hcfaCode","Primary Patient Relationship To Insured HCFA Code ",bca
618,"Give Business name for (Primary Payer).relationShipToInsured.id","Primary Patient Relationship To Insured ID ",bca
619,"Give Business name for PatientOrInsuranceBKM.Fetch Primary PayerDecisionResponse","Primary Payer ",bca
620,"Give Business name for (Primary Payer).insurancePackage.settings.insuranceGroups.pbc","Primary PBC Insurance Group ",bca
621,"Give Business name for (Primary Payer).subscriber","Primary Policy Holder ",bca
622,"Give Business name for (Primary Payer).subscriber.address.street1","Primary Policy Holder Address Line1 ",bca
623,"Give Business name for (Primary Payer).subscriber.address.city","Primary Policy Holder City ",bca
624,"Give Business name for (Primary Payer).subscriber.address.countryId","Primary Policy Holder Country ID ",bca
625,"Give Business name for (Primary Payer).subscriber.birthDate","Primary Policy Holder Date Of Birth ",bca
626,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.insurances[1].subscriber.employer","Primary Policy Holder Employer ",bca
627,"Give Business name for (Primary Payer).subscriber.employer.name","Primary Policy Holder Employer Name ",bca
628,"Give Business name for (Primary Payer).subscriber.employer.address.state","Primary Policy Holder Employer State ",bca
629,"Give Business name for (Primary Payer).subscriber.entityType.id","Primary Policy Holder Entity Type ID ",bca
630,"Give Business name for (Primary Payer).subscriber.firstName","Primary Policy Holder First Name ",bca
631,"Give Business name for (Primary Payer).subscriber.lastName","Primary Policy Holder Last Name ",bca
632,"Give Business name for (Primary Payer).subscriber.middleInitial","Primary Policy Holder Middle Initial ",bca
633,"Give Business name for (Primary Payer).subscriber.entityType.displayName","Primary Policy Holder Name ",bca
634,"Give Business name for (Primary Payer).subscriber.homePhone","Primary Policy Holder Phone ",bca
635,"Give Business name for (Primary Payer).subscriber.sex","Primary Policy Holder Sex ",bca
636,"Give Business name for (Primary Payer).subscriber.address.state","Primary Policy Holder State ",bca
637,"Give Business name for (Primary Payer).subscriber.address.zip","Primary Policy Holder ZIP Code ",bca
638,"Give Business name for (Primary Payer).insurancePackage.productTypeId","Primary Product Type ID ",bca
639,"Give Business name for (Primary Payer).insurancePackage.renderingProviderNumber.npi","Primary Rendering Provider NPI ",bca
640,"Give Business name for (Primary Payer).insurancePackage.renderingProviderNumber","Primary Rendering Provider Number ",bca
641,"Give Business name for (Primary Payer).insurancePackage.renderingProviderNumber.legacyNumber","Primary Rendering Provider Number Legacy Number ",bca
642,"Give Business name for (Primary Payer).insurancePackage.routingProgram.id","Primary Routing Program ID ",bca
643,"Give Business name for SelfPay.Execute(PatientOrInsuranceBKM.Fetch Primary PayerDecisionResponse)","Primary Self-Pay Flag ",bca
644,"Give Business name for (Primary Payer).insurancePackage.supervisingProviderNumber.legacyNumber","Primary Supervising Provider Legacy Number ",bca
645,"Give Business name for (Primary Payer).insurancePackage.supervisingProviderNumber.npi","Primary Supervising Provider NPI ",bca
646,"Give Business name for (Primary Payer).insurancePackage.supervisingProviderNumber.providerNumber","Primary Supervising Provider Number ",bca
647,"Give Business name for (Primary Payer).insurancePackage.supervisingProviderNumber","Primary Supervising Provider Numbers ",bca
648,"Give Business name for (Primary Payer).workersCompensation.state","Primary Workers Comp State ",bca
649,"Give Business name for DecisionResponse.scrubbedClaim.claim.principalDiagnosis","Principal Diagnosis Code ",bca
650,"Give Business name for DecisionResponse.scrubbedClaim.claim.principalProcedureDate","Principal Procedure Date ",bca
651,"Give Business name for DecisionResponse.scrubbedClaim.claim.principalProcedureCode","Principal Procedure ICD-10 Code ",bca
652,"Give Business name for DecisionResponse.activeInsurance.printZeroDollarCharges","Print Zero Dollar Charges ",bca
653,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.productTypeId","Product Type ID ",bca
654,"Give Business name for DecisionResponse.scrubbedClaim.crossModel.providerDetails","Provider Details ",bca
655,"Give Business name for DecisionResponse.scrubbedClaim.referenceData.historicalClaims.department.providerGroupId","Provider Group ID ",bca
656,"Give Business name for Reference Data.providers.id","Provider Id ",bca
657,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.hospice.providerHospiceEmployee","Provider Is A Hospice Employee ",bca
658,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.supervisingProviderEnrollmentStatus.legacyNumber","Provider Legacy Number ",bca
659,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.providerNumberCategory.id","Provider Number Category ID ",bca
660,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.providerNumberCategory.name","Provider Number Category Name ",bca
661,"Give Business name for AdjudicationAndProviderQualifier.Execute( Adjudication Program: Adjudication Program ID )","Provider Number Qualifier ",bca
662,"Give Business name for DecisionResponse.scrubbedClaim.referenceData.providerNumbers","Provider Numbers ",bca
663,"Give Business name for Reference Data.providerRecordNumbers","Provider Record Numbers ",bca
664,"Give Business name for Reference Data.providerTypes","Provider Types ",bca
665,"Give Business name for Reference Data.providers.userName","Provider User Name ",bca
666,"Give Business name for DecisionResponse.claim.medicalGroup.providerGroup.providers","Providers ",bca
667,"Give Business name for DecisionResponse.scrubbedClaim.crossModel.typeOfQualifyingProcedureCodes","Qualifying Procedure Codes ",bca
668,"Give Business name for Reference Data.patientInsurances.sequenceNumber","Quickview Insurance Sequence ",bca
669,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.department.id","Quickview Primary Department ID ",bca
670,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.department.name","Quickview Primary Department Name ",bca
671,"Give Business name for DecisionResponse.activeInsurance.recentEligibility","Recent Eligibility ",bca
672,"Give Business name for DecisionResponse.activeInsurance.recentEligibility.parser.eligibility.covered","Recent Eligibility Covered ",bca
673,"Give Business name for DecisionResponse.activeInsurance.recentEligibility.id","Recent Eligibility ID ",bca
674,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.recordNumbers","Record Numbers ",bca
675,"Give Business name for DecisionResponse.refData.ansiSpecialties","Ref ANSI Specialties ",bca
676,"Give Business name for DecisionResponse.scrubbedClaim.referenceData.appointmentDetails","Ref Appointment Details ",bca
677,"Give Business name for DecisionResponse.scrubbedClaim.referenceData.appointmentRecordNumber","Ref Appointment Record Number ",bca
678,"Give Business name for flatten([DecisionResponse.scrubbedClaim.referenceData.relationshipToInsured.id])","Ref Data Patient Relationship To Insured ID ",bca
679,"Give Business name for DecisionResponse.scrubbedClaim.referenceData.patientInsurances","Ref Patient Insurances ",bca
680,"Give Business name for DecisionResponse.refData.placeOfService","Ref Place Of Service ",bca
681,"Give Business name for Reference Data.referringProviders","Ref Referring Providers ",bca
682,"Give Business name for DecisionResponse.refData.ttransactions","Ref Ttransactions ",bca
683,"Give Business name for DecisionResponse.refData.providerNumbers","RefData Provider Numbers ",bca
684,"Give Business name for DecisionResponse.scrubbedClaim.referenceData","Reference Data ",bca
685,"Give Business name for Reference Data.referringProviders[item.id = Referring Provider ID].referringProviderGroupID","Reference Data Referring Provider Group ID ",bca
686,"Give Business name for DecisionResponse.scrubbedClaim.claim.referenceLab.address.street1","Reference Lab Address Line 1 ",bca
687,"Give Business name for DecisionResponse.scrubbedClaim.claim.referenceLab.address.street2","Reference Lab Address Line 2 ",bca
688,"Give Business name for DecisionResponse.scrubbedClaim.claim.referenceLab.address.city","Reference Lab City ",bca
689,"Give Business name for DecisionResponse.scrubbedClaim.claim.referenceLab.entityTypeId","Reference Lab Entity Type ",bca
690,"Give Business name for DecisionResponse.scrubbedClaim.claim.referenceLab.firstName","Reference Lab First Name ",bca
691,"Give Business name for DecisionResponse.scrubbedClaim.claim.referenceLab.id","Reference Lab ID ",bca
692,"Give Business name for DecisionResponse.scrubbedClaim.claim.referenceLab.lastName","Reference Lab Last Name ",bca
693,"Give Business name for DecisionResponse.scrubbedClaim.claim.referenceLab.middleInitial","Reference Lab Middle Initial ",bca
694,"Give Business name for DecisionResponse.scrubbedClaim.claim.referenceLab.nameSuffix","Reference Lab Name Suffix ",bca
695,"Give Business name for DecisionResponse.scrubbedClaim.claim.referenceLab.npiReferringProviderNumber","Reference Lab NPI ",bca
696,"Give Business name for DecisionResponse.scrubbedClaim.claim.referenceLab.referringProviderNumber","Reference Lab Provider Number ",bca
697,"Give Business name for DecisionResponse.scrubbedClaim.claim.referenceLab.address.state","Reference Lab State ",bca
698,"Give Business name for DecisionResponse.scrubbedClaim.claim.referenceLab.address.zip","Reference Lab ZIP Code ",bca
699,"Give Business name for DecisionResponse.scrubbedClaim.claim.referralAuthorization.id","Referral/Authorization ID ",bca
700,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.referringProvider","Referring Provider ",bca
701,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.referringProvider.address","Referring Provider Address Details ",bca
702,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.referringProvider.address.street1","Referring Provider Address Line 1 ",bca
703,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.referringProvider.address.city","Referring Provider City ",bca
704,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.referringProvider.entityType","Referring Provider Entity Type ",bca
705,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.referringProvider.entityType.id","Referring Provider Entity Type ID ",bca
706,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.referringProvider.firstName","Referring Provider First Name ",bca
707,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.referringProvider.name","Referring Provider Full Name ",bca
708,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.referringProvider.id","Referring Provider ID ",bca
709,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.referringProvider.lastName","Referring Provider Last Name ",bca
710,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.referringProvider.lastNameUnstripped","Referring Provider Last Name With Special Characters ",bca
711,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.referringProvider.middleInitial","Referring Provider Middle Initial ",bca
712,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.referringProvider.nameSuffix","Referring Provider Name Suffix ",bca
713,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.referringProvider.notes","Referring Provider note ",bca
714,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.referringProviderNumber.npi","Referring Provider NPI ",bca
715,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.referringProviderNumber.providerNumber","Referring Provider Number ",bca
716,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.referringProviderNumber","Referring Provider Numbers ",bca
